Country,International Openness,Air transport infrastructure,Ground and port infrastructure,Tourist service infrastructure,Prioritization of Travel & Tourism,Natural and cultural resources ,Environmental sustainability,Price competitiveness,Safety and security,TTCI
Kenya,3.006626193,2.702200826,3.317336687,2.929785347,5.416212363,2.971517822,4.54967456,4.898705974,4.643374941,3.628503273
South Korea,4.261980498,4.592609196,5.156038038,5.551941913,4.946001418,3.594895526,4.719015169,4.993456273,5.947157245,4.780579646
Kuwait,1.881916101,2.607543344,3.304001379,3.881480755,3.564792365,1.471696846,3.995777532,5.601309456,5.803942259,3.419645464
Kyrgyz Republic,2.995755875,1.960985163,2.065089789,2.087853323,3.833749367,2.016981235,3.705564172,6.143355692,5.17312221,3.23164132
Lao PDR,2.961096086,2.387998072,2.524651951,3.417705837,4.752111562,2.098316111,3.73873221,5.901651112,5.31900822,3.415257331
Latvia,3.992922579,3.466762323,4.185688897,4.510857678,4.637988575,1.881548365,4.674277387,5.670098253,5.808605128,4.040808591
Lebanon,2.502352687,2.521867288,2.826902286,3.959677616,4.980081628,1.697894702,4.084933274,5.477770987,4.754968704,3.382083004
Lesotho,2.553093787,1.30092095,1.842342746,2.830038282,5.052232232,1.599795259,4.834865299,6.142779665,5.386985268,3.019224181
Liberia,1.993667599,1.77832908,2.324328356,1.697783387,2.705077198,1.449256801,4.259846208,4.790836003,5.322452096,2.609822308
Lithuania,4.006167643,2.48007655,4.311769368,4.419593892,4.34392237,1.87075046,4.569687516,5.71948533,5.864651254,3.975097789
Luxembourg,4.271884442,3.651653177,5.495291678,5.92723378,5.08458357,2.207818401,5.630148532,5.022705727,6.320085543,4.555648568
North Macedonia,2.28090796,2.392066512,2.61785731,3.876801706,3.734915363,1.77022285,3.55959719,5.81103648,5.177173764,3.357765418
Madagascar,,,,,,,,,,
Malawi,2.487868242,1.463660442,2.10053137,2.03048553,3.558844794,2.256332002,4.131151301,5.565374329,5.440226062,2.92789816
Malaysia,4.474218084,4.550294839,4.492848801,4.514307046,4.78943854,3.170680568,3.965300474,6.267855851,5.89362224,4.51346503
Mali,1.672044733,1.98017186,2.084463174,2.521427636,3.651047035,1.987614242,4.275706054,4.840265569,4.040323086,2.806382481
Malta,3.9563362,3.888518102,4.838327885,5.466358338,6.167325541,2.161630093,4.702168557,4.917112047,6.010001999,4.35824348
Mauritania,2.9356908,1.628154762,1.776122074,2.041031272,2.757033827,1.545227599,3.911908159,5.284438459,5.56487294,2.685930217
Mauritius,3.577366178,3.198767176,4.63642723,4.974144701,6.075585073,1.833924372,4.260509567,4.627441637,5.778817718,4.009486949
Mexico,3.90099357,3.997060903,3.234587032,4.810311615,5.191956945,5.628271171,3.939796055,5.308009997,4.197159339,4.689370731
Moldova,3.108338036,2.11515028,2.583341327,2.899955038,3.662369216,1.438638512,4.289992958,5.969402493,5.516809381,3.289846307
Mongolia,1.884523996,2.223907442,2.205808503,2.886061217,4.47216374,2.470236272,3.567741532,6.178538004,5.578917878,3.469952224
Montenegro,2.44,3.159725666,3.342040036,5.507703513,4.953712374,1.927545964,4.723659775,5.625158751,5.570087985,3.891431047
Morocco,3.060528469,3.197227123,3.460051757,3.909276818,5.224134095,2.621765765,4.455536686,5.631782195,5.975320416,3.895436075
Mozambique,3.11056305,1.777142379,2.224269357,2.76599132,4.048189022,2.003319551,4.262607866,5.566191006,4.695608477,2.912884058
Myanmar,,,,,,,,,,
Namibia,2.751489777,2.919299723,3.402081444,4.566137207,4.75060695,2.307423307,4.269483196,5.695766375,5.015768358,3.667236417
Nepal,2.702592312,2.266443796,2.013482543,2.245771934,5.00620763,2.611493908,3.511222823,6.037011906,5.210867169,3.346935588
Netherlands,4.270827772,5.229503982,6.139631513,4.835706345,4.845004795,3.053540679,5.41321216,4.606178168,5.996722183,4.791464205
New Zealand,5.534285714,4.900301176,3.821891383,5.804208205,5.624124574,3.176659565,4.744053281,4.678142994,6.280241528,4.745908425
Nicaragua,4.245264559,2.075273228,2.75332841,3.444957434,4.865354804,2.195302618,4.16061592,5.649116417,5.631090272,3.494386016
Nigeria,1.873792596,1.973150362,2.009297677,2.485386907,3.416036519,2.07508639,4.256558105,5.464546346,3.097303694,2.818037052
Norway,4.048760518,5.628325072,3.864367178,5.146719676,5.43644054,2.696008769,5.798488481,4.172545024,6.134643166,4.592378283
Oman,2.782183126,3.402682083,4.384459869,4.095225547,4.716630281,2.150246074,4.358503795,5.737040926,6.52634683,3.977589649
Pakistan,2.245342032,2.229918494,3.272636014,2.71411488,3.606682679,2.11096529,3.604210089,5.699170251,3.66671784,3.096862755
Panama,4.461161755,4.520302117,3.720312479,4.725938196,4.923265842,2.785440817,4.70846416,5.581890812,5.308848809,4.193665956
